
Monde 1000 1000 
Beauce 0 0 5 5 
Energie Nourriture 50 
Seuil Reproduction 15000 


(64 145) 2 770 | 46 37 52 61 35 35 84 28 | 
(688 224) 4 1747 | 75 70 46 13 6 71 50 46 | 
(881 928) 2 118 | 26 91 95 95 87 21 39 78 | 
(795 210) 6 835 | 79 62 94 98 77 37 57 24 | 
(977 621) 0 773 | 77 69 63 97 2 46 72 39 | 
(140 749) 5 939 | 13 29 77 98 2 59 68 44 | 
(748 300) 2 1319 | 22 14 29 57 68 98 48 94 | 
(881 212) 3 512 | 37 17 24 98 12 96 23 41 | 
(737 392) 7 92 | 13 78 98 39 3 67 5 60 | 
(437 123) 7 1728 | 51 79 7 95 64 20 21 87 | 
(154 967) 7 949 | 49 73 55 83 62 22 98 44 | 
(365 770) 6 1495 | 38 60 31 29 72 35 50 6 | 
(379 479) 4 1382 | 41 25 80 96 73 69 2 62 | 
(569 766) 1 1984 | 60 65 32 45 40 44 47 29 | 
(320 153) 2 968 | 58 34 95 78 44 66 79 7 | 
(206 2) 1 922 | 77 30 50 75 42 12 62 91 | 
(270 902) 4 1723 | 20 70 18 34 71 72 66 100 | 
(444 453) 1 863 | 28 92 27 30 69 12 26 22 | 
(425 324) 3 527 | 64 61 81 55 37 96 58 1 | 
(172 219) 2 230 | 64 15 65 35 91 42 99 41 | 
(597 176) 4 1988 | 5 86 87 87 90 58 6 4 | 
(205 874) 5 750 | 42 25 83 69 35 62 68 83 | 
(604 197) 5 1699 | 5 17 77 44 46 55 44 17 | 
(611 735) 2 363 | 53 70 33 67 42 96 83 69 | 
(127 244) 5 1514 | 90 16 69 32 34 99 64 9 | 
(823 913) 6 1226 | 14 91 7 44 54 45 8 19 | 
(887 522) 3 985 | 83 41 78 36 14 7 7 83 | 
(680 657) 3 1994 | 7 80 24 46 7 87 12 67 | 
(431 678) 1 917 | 88 47 33 3 3 1 27 33 | 
(58 74) 4 1410 | 82 9 3 70 77 84 87 89 | 
(432 720) 1 1534 | 62 29 21 23 85 15 26 24 | 
(689 726) 4 54 | 48 82 11 52 7 96 56 64 | 
(150 14) 6 1089 | 17 79 66 71 43 100 84 93 | 
(344 227) 3 196 | 17 57 47 26 52 35 12 67 | 
(927 29) 7 1871 | 16 10 38 35 98 63 61 81 | 
(53 69) 7 104 | 8 32 45 65 46 82 66 49 | 
(827 300) 0 1712 | 86 36 6 48 87 26 16 49 | 
(550 576) 0 1122 | 29 86 10 93 65 59 8 36 | 
(229 43) 6 1146 | 81 53 32 64 96 94 22 73 | 
(713 895) 7 1777 | 14 84 2 34 21 79 77 96 | 
(773 294) 4 515 | 27 96 18 18 79 27 33 14 | 
(589 875) 0 1953 | 65 5 76 7 39 9 76 32 | 
(529 455) 7 937 | 26 37 44 92 38 50 79 100 | 
(736 898) 1 1117 | 27 27 42 56 43 66 19 19 | 
(4 942) 4 342 | 97 21 45 37 60 58 79 65 | 
(751 541) 6 1467 | 60 84 77 41 48 30 26 84 | 
(925 563) 2 747 | 25 3 25 73 10 93 48 6 | 
(217 926) 3 1486 | 86 14 61 5 29 78 11 56 | 
(27 140) 6 85 | 2 6 7 48 75 93 2 99 | 
(717 627) 1 1003 | 22 73 87 5 33 63 10 86 | 
(639 272) 4 1242 | 55 49 35 24 55 23 49 9 | 
(586 916) 3 1886 | 16 77 69 32 23 60 72 16 | 
(718 751) 0 606 | 3 79 64 78 77 84 17 43 | 
(946 475) 0 364 | 78 11 44 53 99 41 10 56 | 
(113 858) 4 213 | 76 78 81 95 77 8 15 18 | 
(51 909) 6 1577 | 77 100 15 40 53 7 35 68 | 
(4 512) 6 585 | 11 31 32 65 62 46 73 93 | 
(458 647) 2 259 | 80 26 62 11 97 33 8 58 | 
(838 878) 4 1222 | 89 73 36 14 92 73 17 39 | 
(179 995) 0 1117 | 87 40 89 40 39 55 50 96 | 
(152 22) 3 1905 | 60 42 97 86 27 58 42 44 | 
(558 831) 0 351 | 85 93 29 44 73 73 99 32 | 
(380 127) 5 608 | 63 44 1 29 48 31 83 74 | 
(220 594) 5 1852 | 58 34 59 3 32 26 73 15 | 
(89 635) 2 1026 | 17 39 25 74 69 58 44 77 | 
(437 761) 4 1940 | 18 92 28 97 90 80 100 27 | 
(830 866) 2 1467 | 95 19 20 38 65 96 47 29 | 
(959 948) 7 1034 | 59 43 98 52 94 61 64 8 | 
(730 256) 6 1551 | 4 20 19 53 71 81 74 48 | 
(62 303) 7 1224 | 68 62 13 11 12 69 69 45 | 
(780 220) 7 418 | 54 70 42 96 35 10 43 81 | 
(929 817) 1 780 | 8 69 43 89 43 17 36 66 | 
(133 641) 6 544 | 20 63 60 20 11 59 71 36 | 
(502 235) 2 1644 | 35 79 92 52 44 85 81 18 | 
(784 857) 2 1654 | 16 17 13 17 16 82 71 18 | 
(472 324) 3 368 | 7 64 94 90 6 64 2 41 | 
(15 866) 3 820 | 78 80 19 57 78 90 27 50 | 
(889 214) 4 1866 | 77 9 17 82 36 45 6 34 | 
(773 102) 0 10 | 4 54 40 17 20 79 12 15 | 
(713 720) 6 211 | 80 25 70 26 19 25 11 25 | 
(208 482) 6 1348 | 99 80 93 51 53 92 86 97 | 
(647 888) 1 1659 | 64 77 62 8 91 16 73 98 | 
(586 39) 4 270 | 43 71 25 46 17 100 8 47 | 
(998 474) 4 214 | 93 65 88 57 49 55 84 28 | 
(194 493) 0 1146 | 48 90 48 7 54 70 16 71 | 
(889 547) 1 246 | 50 82 35 22 33 25 32 15 | 
(670 929) 6 1103 | 7 82 72 74 78 73 49 10 | 
(353 11) 7 162 | 96 94 32 77 98 100 26 60 | 
(427 220) 6 1829 | 65 38 38 54 54 58 83 9 | 
(478 946) 5 431 | 86 41 38 66 2 57 53 77 | 
(307 484) 6 1122 | 44 94 83 20 54 57 76 50 | 
(683 918) 0 35 | 93 84 21 1 58 48 75 8 | 
(349 916) 5 194 | 99 70 69 52 91 55 58 76 | 
(620 397) 0 781 | 30 46 4 13 84 31 27 48 | 
(43 472) 1 1318 | 91 29 98 66 19 67 51 33 | 
(607 341) 4 1324 | 85 34 24 28 37 94 98 83 | 
(33 245) 2 502 | 74 70 13 6 15 25 44 26 | 
(423 909) 1 1781 | 54 67 97 32 87 33 7 52 | 
(592 600) 6 211 | 35 34 4 53 53 88 52 38 | 
(418 555) 1 1161 | 27 16 62 61 31 63 26 35 | 
(357 569) 1 1690 | 12 75 3 87 57 74 86 7 | 
(395 294) 7 583 | 8 8 1 66 62 76 97 54 | 
(250 510) 0 685 | 11 91 1 57 5 45 54 100 | 
(860 391) 7 173 | 53 7 59 29 73 3 80 77 | 
(491 71) 3 1835 | 19 92 48 14 54 89 39 80 | 
(12 857) 6 795 | 56 36 79 100 50 16 69 96 | 
(320 738) 4 1569 | 98 63 46 4 79 28 25 18 | 
(472 748) 3 356 | 16 63 43 14 9 9 17 82 | 
(91 227) 4 1042 | 25 28 98 91 46 91 5 12 | 
(407 263) 4 1279 | 22 97 68 51 55 79 14 39 | 
(689 604) 0 1014 | 48 59 29 6 99 34 57 90 | 
(487 855) 1 389 | 36 73 49 15 90 81 82 100 | 
(148 1) 0 366 | 28 63 55 78 54 62 90 71 | 
(702 818) 0 1490 | 64 71 74 53 24 28 17 27 | 
